instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootNVertices,rootNEdges,rootNP,rootNQ,rootlb,rootub,rootHeurTime,rootSemigreedyIters,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact,rootCgTime
circle_n35_r10_i1,byp_,0,236,2697,115,35,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,1218,609,3.0,4.0,0.25,0,1218,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1219,0,1219,236,2697,115,35,2.03571,4.0,60.002,26860,0.0,41005,0,41000,4,1,0,375,0,370,5,0,0,16.5576,2.239e-06,16.5456,0.00145723,0.0105395,0.0,0.0021387,0,0.0,22670,4323,18342,3,1,0,199,57,138,3,0,0,5.8061,0.00365612,5.79428,0.000756606,0.00625605,0.00114389,16.6341
circle_n9_r50_i4,byp_,0,258,23376,56,9,-1,-1,OPTIMAL,optimality proven,118.265,23,0,3.0,3.0,0.0,0,23,0,0,0.0,0,0,0,0.0,1,1,0,0,0,23,0,23,258,23376,56,9,1.83333,3.0,60.0031,7074,0.0,8002,0,8000,1,1,0,48,0,48,0,0,0,7.44211,9.3e-07,7.38742,0.00254745,0.052146,0.0,0.0108635,0,0.0,2469,103,2363,1,1,0,14,8,5,0,0,0,2.25743,0.000134862,2.1863,0.00144228,0.0695497,0.0,7.4751
circle_n9_r50_i5,byp_,0,211,14697,53,9,-1,-1,OPTIMAL,optimality proven,70.4485,5,0,3.0,3.0,0.0,0,5,0,0,0.0,0,0,0,0.0,1,1,0,0,0,5,0,5,211,14697,53,9,2.0,3.0,60.0008,12186,0.0,8002,0,8000,1,1,0,40,0,40,0,0,0,5.02778,5.16e-07,4.99843,0.00102628,0.0283293,0.0,0.00662589,0,0.0,2088,85,2000,1,1,0,15,10,4,0,0,0,1.31879,0.000132675,1.28684,0.00130588,0.0305141,0.0,5.04649
circle_n18_r20_i5,byp_,0,147,2098,65,18,-1,-1,OPTIMAL,optimality proven,2265.69,7101,0,3.0,3.0,0.0,1,7100,0,0,0.0,0,0,0,0.0,2,1,1,0,0,7101,0,7101,147,2098,65,18,2.02778,4.0,39.1912,40000,0.0,21003,0,21000,2,1,0,191,0,190,1,0,0,3.09294,1.55e-06,3.08711,0.000641548,0.00518229,0.0,0.00061417,0,0.0,4610,229,4378,1,1,0,45,14,30,0,0,0,0.308658,0.000202847,0.306758,7.31365e-05,0.0015248,9.9808e-05,3.10707
circle_n12_r32_i3,byp_,0,365,33240,98,12,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,1085,542,3.0,4.0,0.25,0,1085,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1086,0,1086,365,33240,98,12,2.02778,4.0,60.0151,2493,0.0,22006,0,22000,5,1,0,168,0,163,5,0,0,53.6654,1.689e-06,53.5211,0.0271991,0.117191,0.0,0.0207519,0,0.0,3522,169,3350,1,1,0,29,13,15,0,0,0,6.45247,0.000284232,6.30656,0.00208873,0.120005,0.0235299,53.741
circle_n12_r32_i1,byp_,0,211,9990,64,12,-1,-1,OPTIMAL,optimality proven,106.901,29,0,3.0,3.0,0.0,0,29,0,0,0.0,0,0,0,0.0,2,2,0,0,0,29,0,29,211,9990,64,12,1.83333,4.0,60.0009,13771,0.0,11002,0,11000,1,1,0,99,0,99,0,0,0,6.59031,8.66e-07,6.56512,0.000814291,0.0243822,0.0,0.00505775,0,0.0,2554,123,2428,1,1,0,19,10,8,0,0,0,1.41708,0.000154492,1.38732,0.000563525,0.0290477,0.0,6.60578
circle_n35_r10_i3,byp_,0,352,9507,137,35,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,469,234,3.25,5.0,0.35,0,469,0,0,0.0,0,0,0,0.0,1,1,0,0,0,470,0,470,351,9507,136,34,2.25,5.0,60.0019,6199,0.0,76003,0,76000,2,1,0,635,0,630,5,0,0,92.6673,5.136e-06,92.5954,0.00908599,0.0628008,0.0,0.00850258,0,0.0,16498,2992,13502,2,1,0,153,49,100,3,0,0,14.989,0.00339613,14.9453,0.00279002,0.0348986,0.00261437,92.8966
circle_n12_r32_i2,byp_,0,306,24528,82,12,-1,-1,OPTIMAL,optimality proven,316.011,49,0,3.0,3.0,0.0,1,48,0,0,0.0,0,0,0,0.0,2,1,1,0,0,49,0,49,306,24528,82,12,2.19444,4.0,60.0051,4285,0.0,14005,0,14000,4,1,0,98,0,95,3,0,0,19.9702,1.031e-06,19.8946,0.00838886,0.0672067,0.0,0.0151394,0,0.0,3636,154,3479,1,1,0,26,10,14,1,0,0,4.84731,0.000206991,4.76965,0.00332862,0.074116,0.0,20.0144
circle_n12_r32_i4,byp_,0,214,8720,71,12,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,8779,4389,3.0,4.0,0.25,0,8779,0,0,0.0,0,0,0,0.0,1,1,0,0,0,8780,0,8780,214,8720,71,12,2.0,4.0,60.0028,13456,0.0,14002,0,14000,1,1,0,128,0,128,0,0,0,7.61482,9.82e-07,7.59017,0.000540883,0.0241121,0.0,0.00305791,0,0.0,2724,150,2571,1,1,0,27,15,10,0,0,0,0.800503,0.000194841,0.784094,0.000283414,0.0135094,0.0024213,7.63003
circle_n9_r50_i3,byp_,0,276,26409,62,9,-1,-1,OPTIMAL,optimality proven,83.3997,5,0,3.0,3.0,0.0,0,5,0,0,0.0,0,0,0,0.0,1,1,0,0,0,5,0,5,276,26409,62,9,2.0,3.0,60.0028,5430,0.0,10004,0,10000,3,1,0,46,0,44,2,0,0,10.8104,7.64e-07,10.7455,0.0052683,0.0596154,0.0,0.0138893,0,0.0,2964,211,2750,2,1,0,16,14,0,1,0,0,3.0677,0.00024317,2.99273,0.00493399,0.069792,0.0,10.8502
