instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootlb,rootub,rootHeurTime,rootSemigreedyIters,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
jean,byp_,0,495,46729,66,80,-1,-1,OPTIMAL,optimality proven,54.8914,1,0,3.0,3.0,0.0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,2.03723,3.0,41.3648,10000,0.0,5021,0,5000,20,0,1,218,0,179,39,0,0,13.3773,3.274e-06,8.17305,0.297204,0.0,4.90708,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
queen8_8,byp_,0,1456,598344,64,64,-1,-1,TIME_EXCEEDED_PR,time limit reached in pricing,1947.1,0,0,-1.79769e+308,3.0,1.79769e+306,0,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.51007,3.0,60.0456,2245,0.0,22490,0,22400,89,0,1,618,0,472,146,0,0,1880.87,4.5817e-05,1413.24,167.113,0.0,300.516,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
queen5_5,byp_,0,320,36432,25,25,-1,-1,OPTIMAL,optimality proven,104.534,13,0,2.0,2.0,0.0,1,12,0,0,0.0,0,0,0,0.0,3,2,1,0,0,13,0,13,1.46774,6.0,60.0019,8999,0.0,2106,0,2100,0,6,0,94,0,89,0,5,0,1.9543,1.237e-06,1.46314,0.0,0.491159,0.0,0.0145751,0,0.0,1344,438,900,0,5,0,31,10,17,0,3,0,3.46638,0.000157213,0.562639,0.0157838,0.293931,2.59387
david,byp_,0,803,195050,78,87,-1,-1,OPTIMAL,optimality proven,83.6469,1,0,2.0,2.0,0.0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.44444,2.0,60.0382,912,0.0,1502,0,1500,0,2,0,127,0,126,0,1,0,22.6268,3.132e-06,20.2659,0.0,2.36087,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
myciel3,byp_,0,40,305,11,11,-1,-1,OPTIMAL,optimality proven,0.277844,1,0,2.0,2.0,0.0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.25,2.0,0.265768,10000,0.0,402,0,400,1,0,1,30,0,30,0,0,0,0.0104173,3.72e-07,0.00300529,0.00015237,0.0,0.00725929,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
queen6_6,byp_,0,580,111092,36,36,-1,-1,OPTIMAL,optimality proven,3001.15,43,0,2.0,2.0,0.0,1,42,0,0,0.0,0,0,0,0.0,3,2,1,0,0,43,0,43,1.5102,7.0,60.024,2526,0.0,4809,0,4800,0,9,0,169,0,161,0,8,0,26.6219,9.155e-06,21.9399,0.0,4.68199,0.0,0.0490714,0,0.0,2411,785,1611,2,11,0,45,13,20,2,8,0,68.9953,0.000432262,4.21173,0.306027,3.38451,61.0927
myciel6,byp_,0,1510,429356,95,95,-1,-1,TIME_EXCEEDED_PR,time limit reached in pricing,2031.55,0,0,-1.79769e+308,2.0,1.79769e+306,0,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.29568,2.0,60.0429,1573,0.0,23014,0,22900,113,0,1,635,0,461,174,0,0,1966.43,4.6831e-05,1589.26,77.0508,0.0,300.12,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
huck,byp_,0,599,82770,72,74,-1,-1,OPTIMAL,optimality proven,253.781,45,0,2.0,2.0,0.0,1,44,0,0,0.0,0,0,0,0.0,2,1,1,0,0,45,0,45,1.89655,3.0,60.0119,7742,0.0,3108,0,3100,7,0,1,189,0,176,13,0,0,14.3051,5.448e-06,9.9814,0.119396,0.0,4.20428,0.0258867,0,0.0,1037,449,584,2,0,1,45,13,30,1,0,0,3.78384,0.000471284,2.2238,0.0116141,0.0,1.54795
myciel4,byp_,0,142,4030,23,23,-1,-1,OPTIMAL,optimality proven,4.39252,1,0,2.0,2.0,0.0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.27152,2.0,2.22382,10000,0.0,1502,0,1500,1,0,1,108,0,108,0,0,0,2.16063,1.028e-06,0.166585,0.0128349,0.0,1.98121,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
myciel5,byp_,0,472,43861,47,47,-1,-1,OPTIMAL,optimality proven,159.314,1,0,2.0,2.0,0.0,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.28787,2.0,24.1855,10000,0.0,6618,0,6600,17,0,1,281,0,259,22,0,0,134.982,4.078e-06,11.4288,0.683772,0.0,122.87,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
