instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,initialHeurValue,initialHeurTime,initialSemigreedyIters,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootNVertices,rootNEdges,rootNP,rootNQ,rootlb,rootub,rootHeurTime,rootFeasTime,rootCgTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n110_p0.25_nA22_nB22_i2,byp_,0,110,1525,22,22,-1,-1,OPTIMAL,optimality proven,2241.73,529,0,2.0,2.0,0.0,3.0,9.53633,40000,1,528,0,0,0.0,0,0,0,0.0,2,1,1,0,0,529,0,529,110,1723,22,22,1.63034,3.0,0.000448625,0.0,9.00674,49027,0,49000,16,6,5,277,0,257,15,1,4,8.9918,4.622e-06,2.85499,0.166102,0.102685,5.86802,0.00039367,0,0.0,18261.0,1833.0,16407.0,8.0,6.0,5.0,82.0,32.0,42.0,2.0,0.0,4.0,4.20163,0.00104185,0.78926,0.0536109,0.0460877,3.31163
r_n110_p0.5_nA33_nB33_i0,byp_,0,110,2963,33,33,-1,-1,OPTIMAL,optimality proven,1614.14,267,0,6.0,6.0,0.0,6.0,28.2528,40000,0,267,0,0,0.0,0,0,0,0.0,1,1,0,0,0,267,0,267,103,2652,33,33,4.66282,8.0,0.00103029,0.0,15.0909,65041,0,65000,25,8,8,305,0,275,23,0,7,15.0612,5.393e-06,3.13409,0.0877645,0.0714421,11.7679,0.00111272,0,0.0,18901.0,1942.0,16936.0,11.0,6.0,5.0,78.0,38.0,27.0,7.0,0.0,4.0,5.8924,0.000609318,0.805373,0.0340387,0.0335001,5.01888
r_n110_p0.25_nA22_nB33_i2,byp_,0,110,1500,22,33,-1,-1,OPTIMAL,optimality proven,6.93774,1,0,2.0,2.0,0.0,2.0,0.094216,395,0,1,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,110,1686,22,33,1.56338,3.0,0.000398604,0.0,6.84193,56035,0,56000,28,5,2,231,0,192,35,3,1,6.82137,5.819e-06,2.94181,0.341323,0.151785,3.38645,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.5_nA33_nB22_i2,byp_,0,110,2992,33,22,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,549,265,6.0,7.0,0.142857,7.0,23.3899,40000,0,549,0,0,0.0,0,0,0,0.0,1,1,0,0,0,312,238,550,106,2875,33,22,5.22624,9.0,0.000913847,0.0,66.6622,108126,0,108000,46,40,40,417,0,370,8,0,39,66.6173,1.2898e-05,5.75402,0.11246,0.14362,60.6072,0.000600467,0,0.0,26654.0,2886.0,23722.0,17.0,14.0,14.0,88.0,45.0,25.0,4.0,0.0,13.0,12.961,0.000723441,0.970713,0.0248936,0.0557629,11.9089
r_n110_p0.25_nA33_nB33_i0,byp_,0,110,1448,33,33,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,733,366,3.0,4.0,0.25,4.0,15.5138,40000,0,733,0,0,0.0,0,0,0,0.0,1,1,0,0,0,734,0,734,107,1490,33,33,2.56355,5.0,0.000573417,0.0,46.5741,127146,0,127000,66,40,40,485,0,414,32,0,39,46.5062,1.4022e-05,6.36101,0.405159,0.216378,39.5236,0.000547665,0,0.0,37711.0,5149.0,32508.0,22.0,15.0,15.0,131.0,55.0,52.0,7.0,0.0,14.0,9.7314,0.00222709,1.24723,0.0833532,0.0724237,8.32617
r_n110_p0.75_nA33_nB22_i2,byp_,0,110,4481,33,22,-1,-1,OPTIMAL,optimality proven,418.565,71,0,11.0,11.0,0.0,12.0,15.8652,40000,1,70,0,0,0.0,0,0,0,0.0,2,1,1,0,0,22,49,71,104,4041,33,22,9.73803,-1.0,0.000488125,0.0,30.7145,66069,0,66000,29,20,20,266,0,238,9,0,19,30.6921,7.274e-06,3.08628,0.0443591,0.0988564,27.4626,0.000577735,0,0.0,14309.0,1204.0,13085.0,8.0,5.0,5.0,59.0,33.0,17.0,3.0,0.0,4.0,5.30502,0.000259658,0.613494,0.00776591,0.0363479,4.64716
r_n110_p0.5_nA33_nB33_i2,byp_,0,110,2985,33,33,-1,-1,OPTIMAL,optimality proven,1242.06,217,0,6.0,6.0,0.0,6.0,27.6613,40000,0,217,0,0,0.0,0,0,0,0.0,1,1,0,0,0,217,0,217,103,2699,33,33,4.66256,7.0,0.000910679,0.0,10.1286,45017,0,45000,9,4,4,326,0,316,7,0,3,10.1035,2.736e-06,2.32543,0.0366673,0.0358935,7.70547,0.00104519,0,0.0,17285.0,1951.0,15314.0,8.0,5.0,5.0,81.0,40.0,31.0,4.0,0.0,4.0,5.56248,0.000608427,0.767335,0.0271352,0.0292491,4.73815
r_n110_p0.75_nA22_nB33_i1,byp_,0,110,4498,22,33,-1,-1,OPTIMAL,optimality proven,238.276,81,0,5.0,5.0,0.0,6.0,21.0703,40000,1,80,0,0,0.0,0,0,0,0.0,2,1,1,0,0,81,0,81,106,4219,22,33,4.63633,7.0,0.000865584,0.0,5.3231,20010,0,20000,6,2,2,127,0,118,8,0,1,5.31528,1.481e-06,0.990771,0.026394,0.0193815,4.27874,0.000917265,0,0.0,8279.0,483.0,7787.0,5.0,1.0,1.0,35.0,18.0,11.0,5.0,0.0,0.0,2.64146,0.000134492,0.412672,0.0174227,0.0118311,2.1994
r_n110_p0.25_nA33_nB22_i0,byp_,0,110,1448,33,22,-1,-1,INFEASIBLE,infeasibility proven,0.000366428,1,0,-1.0,-1.0,-1.0,-1.0,0.0,0,0,0,0,0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,105,1434,32,22,-1.0,-1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_n110_p0.25_nA33_nB22_i2,byp_,0,110,1528,33,22,-1,-1,TIME_EXCEEDED_LP,time limit reached in LP,7200.0,278,138,3.0,4.0,0.25,4.0,16.048,40000,0,278,0,0,0.0,0,0,0,0.0,1,1,0,0,0,279,0,279,107,1562,33,22,2.64039,5.0,0.000545343,0.0,77.5327,120117,0,120000,43,37,37,606,0,564,6,0,36,77.4646,1.3635e-05,6.419,0.214686,0.426265,70.4046,0.000581098,0,0.0,49636.0,8018.0,41537.0,28.0,26.0,25.0,148.0,65.0,55.0,2.0,0.0,24.0,25.6311,0.0032516,1.92879,0.0771382,0.159325,23.4626
