instance,solver,run,nvertices,nedges,nP,nQ,nvars,ncons,state,terminationReason,time,nodes,nodesLeft,lb,ub,gap,nNodesInt,nNodesFrac,nNodesGcp,nNodesTrivial,nNodesInfeas,nNodesInfeasPrepro,nNodesInfeasCheck,nNodesInfeasAux,gcpAvgTime,nsol,nsolHeur,nsolLR,nsolGCP,nsolTrivial,ninitSol,ninitDummy,ninit,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n60_p0.5_nA12_nB1_i0,feas-ilp_,0,60,885,12,1,-1,-1,INFEASIBLE,infeasibility proven,0.141395,0,0,8.7042,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA14_nB1_i1,feas-enum_,0,70,1795,14,1,-1,-1,INFEASIBLE,infeasibility proven,0.00295056,0,0,5.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA14_nB4_i1,byp_,0,70,1795,14,4,-1,-1,INFEASIBLE,infeasibility proven,2.67728,1,0,-1.0,-2147483648.0,-1.0,0,0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,1,1,160.25,-1.0,2.15227,0.0,2833,0,2800,12,12,9,102,0,91,3,0,8,0.518647,1.689e-06,0.0487806,0.000336825,0.0337989,0.435729,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n60_p0.5_nA6_nB3_i0,feas-ilp_,0,60,885,6,3,-1,-1,FEASIBLE,time limit with feasible solution,0.00379705,0,0,6.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA7_nB1_i0,feas-enum_,0,70,1800,7,1,-1,-1,INFEASIBLE,infeasibility proven,0.00283747,0,0,4.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA10_nB3_i2,feas-enum_,0,50,282,10,3,-1,-1,FEASIBLE,time limit with feasible solution,0.000890733,0,0,10.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA7_nB2_i2,feas-ilp_,0,70,1799,7,2,-1,-1,FEASIBLE,time limit with feasible solution,0.0131324,0,0,7.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA5_nB2_i0,feas-ilp_,0,50,302,5,2,-1,-1,FEASIBLE,time limit with feasible solution,0.00278131,0,0,5.0,-1.0,-1.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n70_p0.75_nA14_nB2_i0,byp_,0,70,1800,14,2,-1,-1,INFEASIBLE,infeasibility proven,2.47357,1,0,-1.0,-2147483648.0,-1.0,0,0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,1,1,508.329,-1.0,0.813931,0.0,2239,0,2200,13,13,13,71,0,59,0,0,12,1.65396,1.798e-06,0.0358825,0.000319732,0.0375045,1.58025,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n50_p0.25_nA5_nB3_i2,byp_,0,50,283,5,3,-1,-1,OPTIMAL,optimality proven,0.440687,1,0,1.0,1.0,0.0,1,0,0,0,0.0,0,0,0,0.0,1,1,0,0,0,1,0,1,1.0,1.0,0.435509,0.0,102,0,100,1,0,1,0,0,0,0,0,0,0.00377891,1.67e-07,0.000939473,2.6862e-05,0.0,0.00281241,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
